# 15MPH-45DEG-SA (Up to date)
# 2988 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (29.7 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (rad),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (rad),Longitude (rad),Gravitational acceleration (m/s²),Angle of attack (rad),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (rad),Lateral orientation (azimuth) (rad),Wind velocity (m/s),Air temperature (K),Air pressure (Pa),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.002,-0.000019,-0.019076,-9.538185,0.019181,9.590724,-0.000002,0,0.000002,3.141593,0.002005,1.002504,0.575786,1.867068,9.791353,1.468642,0,0,0,31.345975,8.45895,27.788205,0.113025,NaN,1.848156,NaN,0.022204,1451385.369284,4.60824,0.000659,0.454392,0.001145,0.373847,0.010073,0.070472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.437623,279.056292,85630.011309,334.878113,0.002,0.002342
0.004,-0.000018,-0.018492,-9.24577,0.018593,9.296699,-0.000002,0,0.000002,3.141593,0.001944,0.97177,0.575786,1.867068,9.791353,1.468565,0,0,0,31.345925,8.458901,27.788158,0.113025,NaN,1.848154,NaN,0.022187,1450298.373791,13.82472,0.000659,0.454445,0.001147,0.3739,0.010073,0.070472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.431994,279.056292,85630.011303,334.878113,0.002,0.002684
0.006,-0.000018,-0.017907,-8.953355,0.018005,9.002673,-0.000002,0,0.000002,3.141593,0.001882,0.941036,0.575786,1.867068,9.791353,1.468488,0,0,0,31.345876,8.458851,27.788111,0.113025,NaN,1.848153,NaN,0.022171,1449211.386899,23.0412,0.00066,0.454499,0.00115,0.373954,0.010073,0.070472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.426365,279.056292,85630.011297,334.878113,0.002,0.003246
0.008,-0.000017,-0.017322,-8.660939,0.017417,8.708646,-0.000002,0,0.000002,3.141593,0.001821,0.910301,0.575786,1.867068,9.791353,1.468411,0,0,0,31.345826,8.458802,27.788064,0.113024,NaN,1.848151,NaN,0.022154,1448124.408628,32.25768,0.00066,0.454552,0.001153,0.374008,0.010073,0.070472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.420737,279.056292,85630.01129,334.878113,0.002,0.003779
0.01,-0.000017,-0.016737,-8.368522,0.016829,8.414618,-0.000002,0,0.000002,3.141593,0.001759,0.879567,0.575786,1.867068,9.791353,1.468334,0,0,0,31.345777,8.458752,27.788017,0.113024,NaN,1.84815,NaN,0.022138,1447037.438998,41.47416,0.000661,0.454606,0.001155,0.374061,0.010073,0.070472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.415108,279.056292,85630.011284,334.878113,0.002,0.004297
0.012,-0.000016,-0.016152,-8.076104,0.016241,8.120589,-0.000002,0,0.000002,3.141593,0.001698,0.848833,0.575786,1.867068,9.791353,1.468257,0,0,0,31.345727,8.458703,27.78797,0.113024,NaN,1.848148,NaN,0.022121,1445950.478028,50.69064,0.000662,0.45466,0.001158,0.374115,0.010073,0.070472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.409479,279.056292,85630.011278,334.878113,0.002,0.004831
0.014,-0.000016,-0.015567,-7.783685,0.015653,7.82656,-0.000002,0,0.000002,3.141593,0.001636,0.818098,0.575786,1.867068,9.791353,1.46818,0,0,0,31.345678,8.458653,27.787923,0.113024,NaN,1.848147,NaN,0.022104,1444863.525737,59.90712,0.000662,0.454713,0.001161,0.374169,0.010073,0.070472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.40385,279.056292,85630.011272,334.878113,0.002,0.005394
0.016,-0.000015,-0.014983,-7.491265,0.015065,7.532529,-0.000002,0,0.000002,3.141593,0.001575,0.787364,0.575786,1.867068,9.791353,1.468102,0,0,0,31.345628,8.458604,27.787876,0.113024,NaN,1.848145,NaN,0.022088,1443776.582145,69.1236,0.000663,0.454767,0.001163,0.374223,0.010072,0.070472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.398221,279.056292,85630.011266,334.878113,0.002,0.005943
0.018,-0.000014,-0.014398,-7.198844,0.014477,7.238497,-0.000002,0,0.000002,3.141593,0.001513,0.756629,0.575786,1.867068,9.791353,1.468025,0,0,0,31.345579,8.458554,27.787829,0.113024,NaN,1.848144,NaN,0.022071,1442689.647271,78.34008,0.000663,0.454821,0.001166,0.374277,0.010072,0.070472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.392592,279.056292,85630.011259,334.878113,0.002,0.00647
0.02,-0.000014,-0.013813,-6.906422,0.013889,6.944465,-0.000001,0,0.000001,3.141593,0.001452,0.725894,0.575786,1.867068,9.791353,1.467947,0,0,0,31.345529,8.458505,27.787782,0.113024,NaN,1.848142,NaN,0.022054,1441602.721136,87.55656,0.000664,0.454875,0.001169,0.374331,0.010072,0.070472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.386964,279.056292,85630.011253,334.878113,0.002,0.007004
