# 20MPH-SA (Up to date)
# 3021 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (31 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (rad),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (rad),Longitude (rad),Gravitational acceleration (m/s²),Angle of attack (rad),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (rad),Lateral orientation (azimuth) (rad),Wind velocity (m/s),Air temperature (K),Air pressure (Pa),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.002,-0.000019,-0.019076,-9.5382,0.019181,9.590739,-0.000002,0,0.000002,3.141593,0.002005,1.002505,0.575786,1.867068,9.791353,1.468009,0,0,0,31.345975,8.45895,27.788205,0.113025,NaN,1.848156,NaN,0.029472,1926460.12054,4.60824,0.001132,0.434991,0.001116,0.354376,0.010114,0.070501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,9.871501,279.056292,85630.011309,334.878113,0.002,0.001854
0.004,-0.000018,-0.018492,-9.245785,0.018593,9.296714,-0.000002,0,0.000002,3.141593,0.001944,0.971771,0.575786,1.867068,9.791353,1.467948,0,0,0,31.345925,8.458901,27.788158,0.113025,NaN,1.848154,NaN,0.029509,1928868.860033,13.82472,0.001136,0.434909,0.001118,0.354294,0.010115,0.070501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,9.883781,279.056292,85630.011303,334.878113,0.002,0.002373
0.006,-0.000018,-0.017907,-8.95337,0.018005,9.002688,-0.000002,0,0.000002,3.141593,0.001882,0.941037,0.575786,1.867068,9.791353,1.467886,0,0,0,31.345876,8.458851,27.788111,0.113025,NaN,1.848153,NaN,0.029546,1931277.606863,23.0412,0.001141,0.434827,0.001119,0.354211,0.010115,0.070501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,9.896061,279.056292,85630.011297,334.878113,0.002,0.002807
0.008,-0.000017,-0.017322,-8.660954,0.017417,8.708661,-0.000002,0,0.000002,3.141593,0.001821,0.910303,0.575786,1.867068,9.791353,1.467825,0,0,0,31.345826,8.458802,27.788064,0.113024,NaN,1.848151,NaN,0.029583,1933686.361002,32.25768,0.001145,0.434745,0.001121,0.354129,0.010115,0.070501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,9.908341,279.056292,85630.01129,334.878113,0.002,0.003241
0.01,-0.000017,-0.016737,-8.368537,0.016829,8.414634,-0.000002,0,0.000002,3.141593,0.001759,0.879569,0.575786,1.867068,9.791353,1.467764,0,0,0,31.345777,8.458752,27.788017,0.113024,NaN,1.84815,NaN,0.029619,1936095.122424,41.47416,0.00115,0.434663,0.001123,0.354047,0.010115,0.070501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,9.920621,279.056292,85630.011284,334.878113,0.002,0.003668
0.012,-0.000016,-0.016152,-8.076119,0.016241,8.120605,-0.000002,0,0.000002,3.141593,0.001698,0.848834,0.575786,1.867068,9.791353,1.467703,0,0,0,31.345727,8.458703,27.78797,0.113024,NaN,1.848148,NaN,0.029656,1938503.891102,50.69064,0.001155,0.434582,0.001125,0.353965,0.010115,0.070502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,9.932901,279.056292,85630.011278,334.878113,0.002,0.00409
0.014,-0.000016,-0.015567,-7.783701,0.015653,7.826575,-0.000002,0,0.000002,3.141593,0.001636,0.8181,0.575786,1.867068,9.791353,1.467642,0,0,0,31.345678,8.458653,27.787923,0.113024,NaN,1.848147,NaN,0.029693,1940912.667009,59.90712,0.001159,0.4345,0.001126,0.353883,0.010116,0.070502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,9.945181,279.056292,85630.011272,334.878113,0.002,0.004514
0.016,-0.000015,-0.014983,-7.491281,0.015065,7.532545,-0.000002,0,0.000002,3.141593,0.001575,0.787365,0.575786,1.867068,9.791353,1.467581,0,0,0,31.345628,8.458604,27.787876,0.113024,NaN,1.848145,NaN,0.02973,1943321.450118,69.1236,0.001164,0.434419,0.001128,0.353801,0.010116,0.070502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,9.957461,279.056292,85630.011266,334.878113,0.002,0.00494
0.018,-0.000014,-0.014398,-7.19886,0.014477,7.238514,-0.000002,0,0.000002,3.141593,0.001513,0.756631,0.575786,1.867068,9.791353,1.467521,0,0,0,31.345579,8.458554,27.787829,0.113024,NaN,1.848144,NaN,0.029767,1945730.240402,78.34008,0.001169,0.434338,0.00113,0.353719,0.010116,0.070502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,9.969741,279.056292,85630.011259,334.878113,0.002,0.005365
0.02,-0.000014,-0.013813,-6.906439,0.013889,6.944481,-0.000001,0,0.000001,3.141593,0.001452,0.725896,0.575786,1.867068,9.791353,1.467461,0,0,0,31.345529,8.458505,27.787782,0.113024,NaN,1.848142,NaN,0.029804,1948139.037837,87.55656,0.001173,0.434256,0.001131,0.353638,0.010116,0.070502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,9.982021,279.056292,85630.011253,334.878113,0.002,0.005807
0.022,-0.000013,-0.013228,-6.614016,0.013301,6.650448,-0.000001,0,0.000001,3.141593,0.00139,0.695161,0.575786,1.867068,9.791353,1.4674,0,0,0,31.34548,8.458455,27.787735,0.113024,NaN,1.848141,NaN,0.02984,1950547.842394,96.77304,0.001178,0.434175,0.001133,0.353557,0.010117,0.070502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,9.994301,279.056292,85630.011247,334.878113,0.002,0.00623
0.024,-0.000013,-0.012643,-6.321593,0.012713,6.356414,-0.000001,0,0.000001,3.141593,0.001329,0.664426,0.575786,1.867068,9.791353,1.46734,0,0,0,31.34543,8.458406,27.787688,0.113024,NaN,1.848139,NaN,0.029877,1952956.654047,105.98952,0.001183,0.434095,0.001135,0.353475,0.010117,0.070503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,10.006581,279.056292,85630.011241,334.878113,0.002,0.006651
0.026,-0.000005,-0.005354,-2.676891,0.005383,2.691636,-0.000001,0,0.000001,3.141593,0.000563,0.281353,0.575786,1.867068,9.791353,1.466611,0,0,0,31.344805,8.457781,27.787096,0.113023,NaN,1.84812,NaN,0.029916,1955501.877024,220.85919,0.00121,0.434009,0.001158,0.35339,0.010117,0.070503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000001,0.15748,0.019478,1.466077,0,10.018861,279.056292,85630.011163,334.878113,0.002,0.007075
0.028,0.000042,0.042163,21.082185,0.042395,21.198311,0.000004,0,0.000004,0,0.004432,2.215827,0.575786,1.867068,9.791353,1.461875,0,0,0,31.343605,8.45658,27.785957,0.113022,NaN,1.848084,NaN,0.029968,1958890.686903,969.648,0.001383,0.433896,0.001319,0.353276,0.010117,0.070503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000005,0.15748,0.019478,1.466077,0,10.031141,279.056292,85630.010658,334.878113,0.002,0.007498
0.03,0.000223,0.138552,48.19554,0.139315,48.461014,0.000023,0,0.000023,0,0.014562,5.065555,0.575786,1.867068,9.791353,1.452302,0,0,0,31.342404,8.45538,27.784818,0.11302,NaN,1.848048,NaN,0.030038,1963434.072734,1824.09,0.001778,0.433744,0.001688,0.353123,0.010118,0.070503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000017,0.15748,0.019478,1.466077,0,10.04342,279.056291,85630.008735,334.878112,0.002,0.007921
0.032,0.000648,0.286811,74.132903,0.28839,74.541247,0.000068,0,0.000068,0,0.030145,7.791682,0.575786,1.867068,9.791353,1.437647,0,0,0,31.340294,8.45327,27.782817,0.113018,NaN,1.847984,NaN,0.03013,1969482.134463,2641.330208,0.002513,0.433543,0.002371,0.352921,0.010118,0.070504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000035,0.15748,0.019478,1.466077,0,10.0557,279.056288,85630.004211,334.87811,0.002,0.008348
0.034,0.001408,0.472787,92.993098,0.475391,93.50533,0.000148,0,0.000148,0,0.049692,9.773968,0.575786,1.867068,9.791353,1.419382,0,0,0,31.337274,8.45025,27.779951,0.113014,NaN,1.847893,NaN,0.030246,1977053.576983,3235.359667,0.003679,0.433293,0.003445,0.35267,0.010119,0.070504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000058,0.15748,0.019478,1.466077,0,10.06798,279.056283,85629.996131,334.878107,0.002,0.008776
0.036,0.002575,0.694128,110.676157,0.697951,111.285792,0.000271,0,0.000271,0,0.072956,11.632533,0.575786,1.867068,9.791353,1.397817,0,0,0,31.334254,8.44723,27.777086,0.113011,NaN,1.847802,NaN,0.03039,1986462.256996,3792.187333,0.005457,0.432983,0.005061,0.352358,0.01012,0.070505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000086,0.15748,0.019478,1.466077,0,10.08026,279.056275,85629.983718,334.878103,0.002,0.009202
0.038,0.00422,0.951336,128.612369,0.956576,129.320802,0.000444,0,0.000444,0,0.099989,13.517705,0.575786,1.867068,9.791353,1.37301,0,0,0,31.330742,8.443718,27.773753,0.113006,NaN,1.847696,NaN,0.030569,1998156.954296,4356.815417,0.008112,0.4326,0.007436,0.351974,0.010121,0.070506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000117,0.15748,0.019478,1.466077,0,10.09254,279.056265,85629.966215,334.878096,0.002,0.009649
0.04,0.006414,1.24294,145.812893,1.249787,146.616072,0.000674,0,0.000674,0,0.130638,15.325553,0.575786,1.867068,9.791353,1.345234,0,0,0,31.32658,8.439556,27.769802,0.113001,NaN,1.84757,NaN,0.030789,2012565.714565,4898.042438,0.011968,0.432133,0.010813,0.351505,0.010122,0.070507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000153,0.15748,0.019478,1.466077,0,10.10482,279.05625,85629.942875,334.878088,0.002,0.010076
0.042,0.0092,1.542703,149.892178,1.551201,150.717826,0.000967,0,0.000967,0,0.162145,15.754303,0.575786,1.867068,9.791353,1.317109,0,0,0,31.322261,8.435236,27.765701,0.112996,NaN,1.84744,NaN,0.031039,2028905.583793,5025.8485,0.016952,0.431609,0.015071,0.350977,0.010123,0.070508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00019,0.15748,0.019478,1.466077,0,10.1171,279.056232,85629.913243,334.878077,0.002,0.010491
0.044,0.012588,1.845456,151.387478,1.855621,152.221362,0.001323,0,0.001323,0,0.193965,15.911465,0.575786,1.867068,9.791353,1.28918,0,0,0,31.317948,8.430923,27.761604,0.112991,NaN,1.84731,NaN,0.031316,2046986.855021,5072.250493,0.023118,0.431034,0.020192,0.3504,0.010125,0.070509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000228,0.15748,0.019478,1.466077,0,10.12938,279.05621,85629.877203,334.878063,0.002,0.010909
0.046,0.016581,2.146932,150.748751,2.158758,151.579117,0.001743,0,0.001743,0,0.225652,15.844332,0.575786,1.867068,9.791353,1.261876,0,0,0,31.31364,8.426616,27.757512,0.112986,NaN,1.84718,NaN,0.031615,2066559.842581,5051.449444,0.030459,0.43042,0.026102,0.349783,0.010127,0.070511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000265,0.15748,0.019478,1.466077,0,10.14166,279.056184,85629.834736,334.878048,0.002,0.011328
# Event LIFTOFF occurred at t=0.048 seconds
0.048,0.021174,2.446418,149.754032,2.459894,150.578919,0.002225,0,0.002225,0,0.257129,15.739783,0.575786,1.867068,9.791353,1.235281,0,0,0,31.309333,8.422309,27.753419,0.112981,NaN,1.847049,NaN,0.031936,2087515.162534,5019.447889,0.038997,0.429771,0.032751,0.34913,0.010128,0.070512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000302,0.15748,0.019478,1.466077,0,10.15394,279.056154,85629.785876,334.87803,0.002,0.011746
0.05,0.026364,2.743915,148.759002,2.759029,149.578408,0.002771,0,0.002771,0,0.288397,15.635201,0.575786,1.867068,9.791353,1.209406,0,0,0,31.305026,8.418002,27.749325,0.112975,NaN,1.846919,NaN,0.032277,2109778.801683,4987.446333,0.048756,0.42909,0.040087,0.348446,0.01013,0.070514,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000338,0.15748,0.019478,1.466077,0,10.16622,279.056121,85629.730665,334.878009,0.002,0.012196
