# 25MPH-SA (Up to date)
# 3044 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (32.9 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (rad),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (rad),Longitude (rad),Gravitational acceleration (m/s²),Angle of attack (rad),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (rad),Lateral orientation (azimuth) (rad),Wind velocity (m/s),Air temperature (K),Air pressure (Pa),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.002,-0.000019,-0.019076,-9.53822,0.019182,9.590759,-0.000002,0,0.000002,3.141593,0.002005,1.002507,0.575786,1.867068,9.791353,1.467599,0,0,0,31.345975,8.45895,27.788205,0.113025,NaN,1.848156,NaN,0.037412,2445476.779928,4.60824,0.00178,0.419823,0.00109,0.339122,0.010159,0.070541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,12.530497,279.056292,85630.011309,334.878113,0.002,0.002405
0.004,-0.000018,-0.018492,-9.245806,0.018593,9.296734,-0.000002,0,0.000002,3.141593,0.001944,0.971773,0.575786,1.867068,9.791353,1.467556,0,0,0,31.345925,8.458901,27.788158,0.113025,NaN,1.848154,NaN,0.037314,2439071.774542,13.82472,0.001774,0.419984,0.001091,0.339284,0.010159,0.070541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,12.497623,279.056292,85630.011303,334.878113,0.002,0.003002
0.006,-0.000018,-0.017907,-8.95339,0.018005,9.002708,-0.000002,0,0.000002,3.141593,0.001882,0.941039,0.575786,1.867068,9.791353,1.467513,0,0,0,31.345876,8.458851,27.788111,0.113025,NaN,1.848153,NaN,0.037216,2432666.773686,23.0412,0.001768,0.420146,0.001093,0.339447,0.010158,0.07054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,12.464748,279.056292,85630.011297,334.878113,0.002,0.00356
0.008,-0.000017,-0.017322,-8.660974,0.017417,8.708681,-0.000002,0,0.000002,3.141593,0.001821,0.910305,0.575786,1.867068,9.791353,1.46747,0,0,0,31.345826,8.458802,27.788064,0.113024,NaN,1.848151,NaN,0.037118,2426261.777396,32.25768,0.001761,0.420308,0.001095,0.339611,0.010158,0.07054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,12.431874,279.056292,85630.01129,334.878113,0.002,0.004105
0.01,-0.000017,-0.016737,-8.368556,0.016829,8.414653,-0.000002,0,0.000002,3.141593,0.001759,0.879571,0.575786,1.867068,9.791353,1.467427,0,0,0,31.345777,8.458752,27.788017,0.113024,NaN,1.84815,NaN,0.03702,2419856.785708,41.47416,0.001755,0.420471,0.001097,0.339775,0.010157,0.070539,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,12.399,279.056292,85630.011284,334.878113,0.002,0.004706
0.012,-0.000016,-0.016152,-8.076138,0.016241,8.120624,-0.000002,0,0.000002,3.141593,0.001698,0.848836,0.575786,1.867068,9.791353,1.467383,0,0,0,31.345727,8.458703,27.78797,0.113024,NaN,1.848148,NaN,0.036922,2413451.798659,50.69064,0.001748,0.420634,0.001098,0.339939,0.010157,0.070538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,12.366125,279.056292,85630.011278,334.878113,0.002,0.005265
0.014,-0.000016,-0.015567,-7.783719,0.015653,7.826594,-0.000002,0,0.000002,3.141593,0.001636,0.818102,0.575786,1.867068,9.791353,1.467339,0,0,0,31.345678,8.458653,27.787923,0.113024,NaN,1.848147,NaN,0.036824,2407046.816284,59.90712,0.001742,0.420798,0.0011,0.340104,0.010156,0.070538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,12.333251,279.056292,85630.011272,334.878113,0.002,0.005825
0.016,-0.000015,-0.014983,-7.491299,0.015065,7.532563,-0.000002,0,0.000002,3.141593,0.001575,0.787367,0.575786,1.867068,9.791353,1.467295,0,0,0,31.345628,8.458604,27.787876,0.113024,NaN,1.848145,NaN,0.036726,2400641.838622,69.1236,0.001735,0.420963,0.001102,0.34027,0.010156,0.070537,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,12.300377,279.056292,85630.011266,334.878113,0.002,0.006252
0.018,-0.000014,-0.014398,-7.198878,0.014477,7.238531,-0.000002,0,0.000002,3.141593,0.001513,0.756633,0.575786,1.867068,9.791353,1.46725,0,0,0,31.345579,8.458554,27.787829,0.113024,NaN,1.848144,NaN,0.036628,2394236.86571,78.34008,0.001729,0.421128,0.001104,0.340436,0.010155,0.070537,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,12.267502,279.056292,85630.011259,334.878113,0.002,0.006673
0.02,-0.000014,-0.013813,-6.906456,0.013889,6.944499,-0.000001,0,0.000001,3.141593,0.001452,0.725898,0.575786,1.867068,9.791353,1.467206,0,0,0,31.345529,8.458505,27.787782,0.113024,NaN,1.848142,NaN,0.03653,2387831.897585,87.55656,0.001723,0.421294,0.001106,0.340603,0.010154,0.070536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,12.234628,279.056292,85630.011253,334.878113,0.002,0.007116
